DGD_spec,mu,OSNR_dB,num_taps,seed,swapped,rot_x,rot_y,ser_x,ser_y,ber
0.5757142857142857,0.001,20,21,1,False,1j,(-1+0j),0.00016494845360824742,0.0001443298969072165,9.793814432989691e-05
0.5757142857142857,0.001,20,21,2,False,1j,(-1+0j),0.0001443298969072165,0.00016494845360824742,9.793814432989691e-05
0.5757142857142857,0.001,20,21,3,False,(1+0j),(-1+0j),0.00010309278350515464,0.00018556701030927834,8.762886597938145e-05
0.5757142857142857,0.001,20,21,4,False,(-0-1j),1j,0.0014020618556701032,0.0007422680412371134,0.0005670103092783505
0.5757142857142857,0.001,20,21,5,True,1j,1j,0.00018556701030927834,0.00012371134020618558,8.762886597938145e-05
0.6464285714285715,0.001,20,21,1,False,1j,(-1+0j),0.00016494845360824742,0.0001443298969072165,9.793814432989691e-05
0.6464285714285715,0.001,20,21,2,False,1j,(-1+0j),0.0001443298969072165,0.00016494845360824742,9.793814432989691e-05
0.6464285714285715,0.001,20,21,3,False,(1+0j),(-1+0j),0.00010309278350515464,0.00018556701030927834,8.762886597938145e-05
0.6464285714285715,0.001,20,21,4,False,(-0-1j),1j,0.0015463917525773195,0.0009278350515463917,0.0006494845360824742
0.6464285714285715,0.001,20,21,5,True,1j,1j,0.00018556701030927834,0.00012371134020618558,8.762886597938145e-05
0.7171428571428572,0.001,20,21,1,False,1j,(-1+0j),0.00016494845360824742,0.0001443298969072165,9.793814432989691e-05
0.7171428571428572,0.001,20,21,2,False,1j,(-1+0j),0.0001443298969072165,0.00016494845360824742,9.793814432989691e-05
0.7171428571428572,0.001,20,21,3,False,(1+0j),(-1+0j),0.00010309278350515464,0.00018556701030927834,8.762886597938145e-05
0.7171428571428572,0.001,20,21,4,False,(-0-1j),(1+0j),0.002061855670103093,0.0038556701030927837,0.0015824742268041236
0.7171428571428572,0.001,20,21,5,True,1j,1j,0.00018556701030927834,0.00012371134020618558,8.762886597938145e-05
0.7878571428571429,0.001,20,21,1,False,1j,(-1+0j),0.00016494845360824742,0.0001443298969072165,9.793814432989691e-05
0.7878571428571429,0.001,20,21,2,False,1j,(-1+0j),0.0001443298969072165,0.00016494845360824742,9.793814432989691e-05
0.7878571428571429,0.001,20,21,3,False,(1+0j),(-1+0j),0.00010309278350515464,0.00018556701030927834,8.762886597938145e-05
0.7878571428571429,0.001,20,21,4,False,(1+0j),(1+0j),0.011938144329896908,0.0039587628865979385,0.004443298969072165
0.7878571428571429,0.001,20,21,5,True,1j,1j,0.00018556701030927834,0.00012371134020618558,8.762886597938145e-05
0.8585714285714285,0.001,20,21,1,False,1j,(-1+0j),0.00016494845360824742,0.0001443298969072165,9.793814432989691e-05
0.8585714285714285,0.001,20,21,2,False,1j,(-1+0j),0.0001443298969072165,0.00016494845360824742,9.793814432989691e-05
0.8585714285714285,0.001,20,21,3,False,(1+0j),(-1+0j),0.00010309278350515464,0.00018556701030927834,8.762886597938145e-05
0.8585714285714285,0.001,20,21,4,False,(1+0j),(1+0j),0.015010309278350516,0.00420618556701031,0.00545360824742268
0.8585714285714285,0.001,20,21,5,True,1j,1j,0.00018556701030927834,0.00012371134020618558,8.762886597938145e-05
0.9292857142857143,0.001,20,21,1,False,1j,(-1+0j),0.00016494845360824742,0.0001443298969072165,9.793814432989691e-05
0.9292857142857143,0.001,20,21,2,False,1j,(-1+0j),0.0001443298969072165,0.00016494845360824742,9.793814432989691e-05
0.9292857142857143,0.001,20,21,3,False,(1+0j),(-1+0j),0.00010309278350515464,0.00018556701030927834,8.762886597938145e-05
0.9292857142857143,0.001,20,21,4,False,(1+0j),(-0-1j),0.012371134020618556,0.010247422680412371,0.006896907216494845
0.9292857142857143,0.001,20,21,5,True,1j,1j,0.00018556701030927834,0.00012371134020618558,8.762886597938145e-05
1.0,0.001,20,21,1,False,1j,(-1+0j),0.00016494845360824742,0.0001443298969072165,9.793814432989691e-05
1.0,0.001,20,21,2,False,1j,(-1+0j),0.0001443298969072165,0.00016494845360824742,9.793814432989691e-05
1.0,0.001,20,21,3,False,(1+0j),(-1+0j),0.00010309278350515464,0.00018556701030927834,8.762886597938145e-05
1.0,0.001,20,21,4,False,1j,1j,0.018577319587628868,0.00511340206185567,0.008278350515463918
1.0,0.001,20,21,5,True,1j,1j,0.00018556701030927834,0.00012371134020618558,8.762886597938145e-05
